"郑州商品交易所期货持仓排名表(2019-11-18)","","","","","","","","",""
"品种：苹果AP     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"4","华西期货","51,538","750","国投安信期货","11,076","190","永安期货","13,032","-409"
"5","光大期货","39,685","-6,842","广发期货","10,335","-254","光大期货","12,120","879"
"6","海通期货","39,563","878","徽商期货","9,259","-42","国泰君安","10,179","272"
"7","兴证期货","37,854","-1,010","中信期货","9,208","-198","申银万国","9,946","-161"
"8","徽商期货","32,518","206","南华期货","8,446","482","广发期货","9,118","-497"
"9","中信期货","30,615","972","申银万国","7,826","31","国投安信期货","8,996","447"
"10","华安期货","26,286","2,414","中粮期货","7,501","309","兴证期货","7,829","-834"
"11","国泰君安","21,217","1,023","大地期货","7,377","76","东证期货","7,406","694"
"12","东方财富","20,133","3,895","华安期货","7,166","-1,548","宏源期货","7,136","-953"
"13","东吴期货","18,376","2,280","东证期货","7,129","-309","海通期货","7,029","18"
"14","冠通期货","16,639","3,727","方正中期","6,934","-46","东兴期货","6,258","146"
"15","中信建投","14,502","2,133","国泰君安","5,748","-507","中国国际","5,375","-812"
"16","广发期货","13,947","-12,086","宏源期货","5,703","248","鲁证期货","4,895","250"
"17","永安期货","12,711","4,116","海通期货","5,697","-945","摩根大通","4,770","400"
"18","方正中期","12,190","3,945","长江期货","5,578","-673","首创期货","3,917","-389"
"19","安粮期货","12,059","-403","美尔雅","5,312","465","方正中期","3,902","-636"
"20","宏源期货","11,981","1,393","弘业期货","4,894","-152","国信期货","3,663","173"
"合计","","665,796","-69,848","","169,626","-3,489","","209,392","-687"
"品种：菜籽RS     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","美尔雅","3","1","鲁证期货","3","0","光大期货","3","0"
"2","国元期货","2","2","长江期货","2","0","中信建投","3","0"
"3","招商期货","1","1","美尔雅","2","-3","中原期货","2","0"
"4","海通期货","1","1","东证期货","2","0","银河期货","1","0"
"5","国都期货","1","0","招商期货","1","1","海通期货","1","-1"
"6","新纪元期货","0","-2","徽商期货","1","0","东证期货","1","0"
"7","江苏东华","0","-14","光大期货","1","0","永安期货","1","0"
"8","徽商期货","0","-3","新纪元期货","0","0","新纪元期货","0","0"
"9","方正中期","0","-14","江苏东华","0","0","招商期货","0","0"
"10","银河期货","0","-2","方正中期","0","0","江苏东华","0","0"
"11","鲁证期货","0","0","国元期货","0","0","徽商期货","0","0"
"12","长江期货","0","0","银河期货","0","0","方正中期","0","0"
"13","中原期货","0","-2","海通期货","0","0","国元期货","0","0"
